variable_name,mean_decrease_gini
ftr_dummy_db_industry7,0.8265
prodD_booking_pct,0.8244
tot_prod5_blog_page_views,0.8058
tot_prod12_resources_page_views,0.7923
tot_first_touch_paid_search_views,0.7892
vmkernel_memory_in_gb,0.7807
tot_prod2_downloads,0.7803
prodA_std_2014_bookings_amount,0.7775
digital_prodN_seminar_responses,0.7669
tot_first_touch_cid_codes_views,0.7665
prodL_booking_pct,0.7643
digital_prodN_hol_responses,0.7504
ftr_dummy_db_industry12,0.7400
num_president,0.7375
prodB_booking_pct,0.7345
find_a_partner_events,0.7340
prodF_2015_bookings_amount,0.7248
tot_prod10_webinar_page_views,0.7242
prodF_2013_bookings_amount,0.7212
prodA_ent_plus_2013_bookings_amount,0.7202
tot_prod3_hol_reg,0.7185
total_prodI_booking_amount,0.7173
prodF_2014_bookings_amount,0.7141
num_influence,0.7096
num_cpu,0.7048
digital_prodN_eval_responses,0.7035
cart_remove_events,0.6928
ftr_dummy_highest_prodA_edition1,0.6866
prodA_ent_2013_bookings_amount,0.6864
prodI_booking_pct,0.6824
tot_prod19_overview_page_views,0.6791
total_prodL_booking_amount,0.6729
prodB_2013_bookings_amount,0.6695
tot_first_touch_social_network_views,0.6601
prodA_ent_2014_bookings_amount,0.6493
tot_prod13_gs_page_views,0.6446
prodD_2014_bookings_amount,0.6284
num_func_area_director_contacts,0.6272
prodI_2014_bookings_amount,0.6262
prodH_2013_bookings_amount,0.6200
prodA_ent_plus_2015_bookings_amount,0.6134
prodM_booking_pct,0.6084
ftr_dummy_gu_emp_segment_desc6,0.5919
ftr_dummy_db_industry10,0.5906
num_vp,0.5871
ftr_dummy_db_industry31,0.5714
flag_prodG_customer,0.5624
num_hosts,0.5398
ftr_dummy_db_industry15,0.5246
ftr_dummy_db_industry17,0.5200
ftr_dummy_gu_emp_segment_desc4,0.5189
num_cio,0.5170
prodH_2014_bookings_amount,0.5169
num_mission_sddc_cloud,0.5162
tot_prod12_downloads,0.5029
prodA_std_2015_bookings_amount,0.5028
flag_duns_vertical_retail,0.4994
ftr_dummy_db_industry11,0.4988
tot_prod15_blog_page_views,0.4926
tot_prod7_downloads,0.4841
prodI_2015_bookings_amount,0.4830
num_prodN_orders,0.4773
tot_prod18_downloads,0.4604
flag_prodA_5_x_customer,0.4559
flag_prodA_customer,0.4508
ftr_dummy_idc_verticals10,0.4482
prodD_2013_bookings_amount,0.4437
prodJ_2014_bookings_amount,0.4380
total_prodM_booking_amount,0.4366
ftr_dummy_highest_prodA_editionto1,0.4355
prodD_2015_bookings_amount,0.4302
prodN_2015_bookings_amount,0.4258
tot_prod18_overview_page_views,0.4246
tot_prod7_hol_page_views,0.4230
prodJ_2015_bookings_amount,0.4216
ftr_dummy_db_industry27,0.4156
tot_prod14_hol_reg,0.4071
prodL_2014_bookings_amount,0.3991
prodA_ent_2015_bookings_amount,0.3962
flag_highest_prodA_edition,0.3920
tot_prod4_features_page_views,0.3919
prodK_booking_amount,0.3903
prodL_2015_bookings_amount,0.3837
ftr_dummy_idc_verticalsUnknown,0.3780
prodN_2014_bookings_amount,0.3777
flag_duns_vertical_finance,0.3720
ftr_dummy_db_industry20,0.3687
flag_prodA_ent_plus_customer,0.3671
tot_prod14_overview_page_views,0.3635
ftr_dummy_idc_verticals12,0.3583
tot_prod5_overview_page_views,0.3505
tot_prod4_resources_page_views,0.3495
prodN_license_booking_pct,0.3492
prodO_booking_pct,0.3492
prodH_2015_bookings_amount,0.3456
ftr_dummy_gu_emp_segment_descUnknown,0.3444
flag_prodA_std_customer,0.3429
tot_aol_se_page_views,0.3383
ftr_dummy_highest_prodA_edition3,0.3352
tot_prod15_overview_page_views,0.3342
prodJ_2013_bookings_amount,0.3319
flag_prodA_ent_customer,0.3261
ftr_dummy_idc_verticals9,0.3226
ftr_dummy_db_industry3,0.3216
ftr_dummy_highest_prodA_edition4,0.3214
tot_prod7_overview_page_views,0.3100
ftr_dummy_idc_verticals3,0.3092
tot_prod14_gs_page_views,0.3043
tot_prod7_resources_page_views,0.3038
ftr_dummy_db_industry24,0.2961
hv_replay_capable_flag,0.2960
tot_prod2_overview_page_views,0.2950
flag_prodA_5_x_mdm,0.2943
tot_prod3_webinar_page_views,0.2925
prodB_2015_bookings_amount,0.2902
flag_prodH_customer,0.2867
flag_duns_vertical_education,0.2835
num_prodK_orders,0.2834
hyperthreading_active_flag,0.2818
flag_prodF_customer,0.2809
ftr_dummy_db_industry25,0.2804
ftr_dummy_gu_emp_segment_desc2,0.2799
flag_second_highest_prodA_edition,0.2696
prodI_2013_bookings_amount,0.2680
